election_year,election_date,election_type,ward_system,office,ward_number,ward_name,contest_id,candidate_name,candidate_first_name,candidate_last_name,candidate_name_raw,candidate_id,candidate_id_confidence,votes,total_contest_votes,vote_share,vote_rank,n_candidates,elected,acclaimed,incumbent,incumbent_source,incumbent_confidence,source
2000,2000-11-13,general,44-ward,councillor,32,,2000-councillor-32,Bruce Bryer,Bruce,Bryer,BRUCE BRYER,c00342,1.0,388,17412,0.02228348265563979,4,5,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,32,,2000-councillor-32,Jeffery Dorman,Jeffery,Dorman,JEFFERY DORMAN,c00692,1.0,309,17412,0.017746381805651273,5,5,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,33,,2000-councillor-33,Paul Sutherland,Paul,Sutherland,PAUL SUTHERLAND,c01354,1.0,9860,12318,0.8004546192563727,1,4,True,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,33,,2000-councillor-33,Daniel Georgescu,Daniel,Georgescu,DANIEL GEORGESCU,c00570,1.0,1004,12318,0.08150673810683552,2,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,33,,2000-councillor-33,Thomas Lynch,Thomas,Lynch,THOMAS LYNCH,c01209,1.0,996,12318,0.08085728202630298,3,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,33,,2000-councillor-33,Robert Ladanyi,Robert,Ladanyi,ROBERT LADANYI,c01149,1.0,458,12318,0.03718136061048872,4,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,34,,2000-councillor-34,Denzil Minnan-Wong,Denzil,Minnan-Wong,DENZIL MINNAN-WONG,c00646,1.0,8730,14407,0.6059554383285902,1,3,True,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,34,,2000-councillor-34,Kim Scott,Kim,Scott,KIM SCOTT,c01120,1.0,5078,14407,0.35246755049628653,2,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,34,,2000-councillor-34,Neil Milson,Neil,Milson,NEIL MILSON,c01285,1.0,599,14407,0.041577011175123205,3,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,35,,2000-councillor-35,Gerry Altobello,Gerry,Altobello,GERRY ALTOBELLO,c00090,1.0,7118,10974,0.6486240204118826,1,3,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,35,,2000-councillor-35,Worrick Russell,Worrick,Russell,WORRICK RUSSELL,c01424,1.0,3290,10974,0.29979952615272465,2,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,35,,2000-councillor-35,Tao Gold,Tao,Gold,TAO GOLD,c00864,1.0,566,10974,0.051576453435392744,3,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,36,,2000-councillor-36,Brian Ashton,Brian,Ashton,BRIAN ASHTON,c00183,1.0,9374,13056,0.717984068627451,1,2,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,36,,2000-councillor-36,Robert Scott,Robert,Scott,ROBERT SCOTT,c01405,1.0,3682,13056,0.28201593137254904,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,37,,2000-councillor-37,Lorenzo Berardinetti,Lorenzo,Berardinetti,LORENZO BERARDINETTI,c00254,1.0,11007,14210,0.7745953553835327,1,2,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,37,,2000-councillor-37,Colleen Mills,Colleen,Mills,COLLEEN MILLS,c00510,1.0,3203,14210,0.22540464461646728,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,38,,2000-councillor-38,Brad Duguid,Brad,Duguid,BRAD DUGUID,c00316,1.0,11369,13062,0.8703873832491196,1,2,True,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,38,,2000-councillor-38,Angela Bischoff,Angela,Bischoff,ANGELA BISCHOFF,c00130,1.0,1693,13062,0.12961261675088043,2,2,False,False,False,,0.85,city_web_final
