election_year,member_name,candidate_id,office,match_key,incumbent_source,confidence,candidate_id_resolution
2018,Ana Bailão,c00106,councillor,ana bailao,city_attendance,0.95,matched
2018,Anthony Perruzza,c00150,councillor,anthony perruzza,city_attendance,0.95,matched
2018,Maria Augimeri,c00199,councillor,augimeri maria,city_attendance,0.95,matched
2018,Glenn De Baeremaeker,c00212,councillor,baeremaeker de glenn,city_attendance,0.95,matched
2018,Jon Burnside,c00353,councillor,burnside jon,city_attendance,0.95,matched
2018,John Campbell,c00368,councillor,campbell john,city_attendance,0.95,matched
2018,Christin Carmichael Greb,c00381,councillor,carmichael christin greb,city_attendance,0.95,matched
2018,Shelley Carroll,c00389,councillor,carroll shelley,city_attendance,0.95,matched
2018,Cesar Palacio,c00400,councillor,cesar palacio,city_attendance,0.95,matched
2018,Chin Lee,c00439,councillor,chin lee,city_attendance,0.95,matched
2018,Justin J. Di Ciano,,councillor,ciano di j. justin,city_attendance,0.95,no_results_match
2018,Josh Colle,c00504,councillor,colle josh,city_attendance,0.95,matched
2018,Gary Crawford,c00533,councillor,crawford gary,city_attendance,0.95,matched
2018,Joe Cressy,c00534,councillor,cressy joe,city_attendance,0.95,matched
2018,Vincent Crisanti,c00535,councillor,crisanti vincent,city_attendance,0.95,matched
2018,David Shiner,c00607,councillor,david shiner,city_attendance,0.95,matched
2018,Janet Davis,c00615,councillor,davis janet,city_attendance,0.95,matched
2018,Denzil Minnan-Wong,c00636,councillor,denzil minnan-wong,city_attendance,0.95,matched
2018,Frank Di Giorgio,c00654,councillor,di frank giorgio,city_attendance,0.95,matched
2018,Sarah Doucette,c00685,councillor,doucette sarah,city_attendance,0.95,matched
2018,John Filion,c00755,councillor,filion john,city_attendance,0.95,matched
2018,Paula Fletcher,c00757,councillor,fletcher paula,city_attendance,0.95,matched
2018,Michael Ford,c00762,councillor,ford michael,city_attendance,0.95,matched
2018,Mary Fragedakis,c00772,councillor,fragedakis mary,city_attendance,0.95,matched
2018,Frances Nunziata,c00773,councillor,frances nunziata,city_attendance,0.95,matched
2018,Giorgio Mammoliti,c00837,councillor,giorgio mammoliti,city_attendance,0.95,matched
2018,Gord Perks,c00854,councillor,gord perks,city_attendance,0.95,matched
2018,Mark Grimes,c00872,councillor,grimes mark,city_attendance,0.95,matched
2018,Jim Hart,,councillor,hart jim,city_voting,0.9,no_results_match
2018,Michelle Holland,,councillor,holland michelle,city_attendance,0.95,no_results_match
2018,Stephen Holyday,c00915,councillor,holyday stephen,city_attendance,0.95,matched
2018,James Pasternak,c00957,councillor,james pasternak,city_attendance,0.95,matched
2018,Jaye Robinson,c00973,councillor,jaye robinson,city_attendance,0.95,matched
2018,Jim Karygiannis,c00988,councillor,jim karygiannis,city_attendance,0.95,matched
2018,Joe Mihevc,c01000,councillor,joe mihevc,city_attendance,0.95,matched
2018,John Tory,c01022,mayor,john tory,city_attendance,0.95,matched
2018,Jonathan Tsao,,councillor,jonathan tsao,city_voting,0.9,no_results_match
2018,Josh Matlow,c01043,councillor,josh matlow,city_attendance,0.95,matched
2018,Norman Kelly,c01071,councillor,kelly norman,city_attendance,0.95,matched
2018,Kristyn Wong-Tam,c01116,councillor,kristyn wong-tam,city_attendance,0.95,matched
2018,Mike Layton,c01140,councillor,layton mike,city_attendance,0.95,matched
2018,Lucy Troisi,c01180,councillor,lucy troisi,city_voting,0.9,matched
2018,Mary-Margaret McMahon,c01210,councillor,mary-margaret mcmahon,city_attendance,0.95,matched
2018,Miganoush Megardichian,,councillor,megardichian miganoush,city_voting,0.9,no_results_match
2018,Michael Thompson,c01240,councillor,michael thompson,city_attendance,0.95,matched
2018,Neethan Shan,c01289,councillor,neethan shan,city_attendance,0.95,matched
2022,Paul Ainslie,c00047,councillor,ainslie paul,city_attendance,0.95,matched
2022,Ana Bailão,c00106,councillor,ana bailao,city_attendance,0.95,matched
2022,Anthony Perruzza,c00150,councillor,anthony perruzza,city_attendance,0.95,matched
2022,Brad Bradford,c00314,councillor,brad bradford,city_attendance,0.95,matched
2022,Robin Buxton Potts,c00356,councillor,buxton potts robin,city_voting,0.9,matched
2022,Shelley Carroll,c00389,councillor,carroll shelley,city_attendance,0.95,matched
2022,Mike Colle,c00505,councillor,colle mike,city_attendance,0.95,matched
2022,Gary Crawford,c00533,councillor,crawford gary,city_attendance,0.95,matched
2022,Joe Cressy,c00534,councillor,cressy joe,city_attendance,0.95,matched
2022,Cynthia Lai,c00547,councillor,cynthia lai,city_attendance,0.95,matched
2022,Denzil Minnan-Wong,c00636,councillor,denzil minnan-wong,city_attendance,0.95,matched
2022,John Filion,c00755,councillor,filion john,city_attendance,0.95,matched
2022,Paula Fletcher,c00757,councillor,fletcher paula,city_attendance,0.95,matched
2022,Michael Ford,c00762,councillor,ford michael,city_attendance,0.95,matched
2022,Frances Nunziata,c00773,councillor,frances nunziata,city_attendance,0.95,matched
2022,Gord Perks,c00854,councillor,gord perks,city_attendance,0.95,matched
2022,Mark Grimes,c00872,councillor,grimes mark,city_attendance,0.95,matched
2022,Stephen Holyday,c00915,councillor,holyday stephen,city_attendance,0.95,matched
2022,James Pasternak,c00957,councillor,james pasternak,city_attendance,0.95,matched
2022,Jaye Robinson,c00973,councillor,jaye robinson,city_attendance,0.95,matched
2022,Jennifer McKelvie,c00982,councillor,jennifer mckelvie,city_attendance,0.95,matched
2022,Joe Mihevc,c01000,councillor,joe mihevc,city_attendance,0.95,matched
2022,John Tory,c01022,mayor,john tory,city_attendance,0.95,matched
2022,Josh Matlow,c01043,councillor,josh matlow,city_attendance,0.95,matched
2022,Kristyn Wong-Tam,c01116,councillor,kristyn wong-tam,city_attendance,0.95,matched
2022,Mike Layton,c01140,councillor,layton mike,city_attendance,0.95,matched
2022,Nick Mantas,c01200,councillor,mantas nick,city_attendance,0.95,matched
2022,Michael Thompson,c01240,councillor,michael thompson,city_attendance,0.95,matched
2022,Rose Milczyn,,councillor,milczyn rose,city_voting,0.9,no_results_match
